"category","n"
"Clothing, Shoes & Jewelry",49990
"Women",29435
"Clothing",20523
"Men",12420
"Shoes",11810
"Jewelry",5127
"Accessories",4117
"Novelty & More",3376
"Novelty",3208
"T-Shirts",2807
"Tops, Tees & Blouses",2461
"Athletic",2323
"Active",2214
"Sandals",2213
"Dresses",2133
"Shirts",2079
"Girls",2051
"Lingerie, Sleep & Lounge",1478
"Boys",1319
"Earrings",1250
"Watches",1165
"Hats & Caps",1155
"Necklaces",1153
"Westlake",1136
"Boot Shop",1131
"Sport Specific Clothing",1114
"Handbags & Wallets",1112
"Casual",1099
"Baby",1065
"Wrist Watches",1034
"Boots",1023
"Fashion Sneakers",1017
"Luggage & Travel Gear",976
"Running",964
"Flats",943
"Costumes & Accessories",937
"Bracelets",915
"Sleep & Lounge",882
"Swimsuits & Cover Ups",847
"Tops & Tees",828
"Sweaters",805
"Lingerie",770
"Sets",761
"Rings",759
"Sunglasses & Eyewear Accessories",729
"Fashion",710
"Baby Girls",692
"Blouses & Button-Down Shirts",691
"Loafers & Slip-Ons",665
"Pumps",630
"Pants",581
"Coats, Jackets & Vests",549
"Platforms & Wedges",545
"Uniforms, Work & Safety",544
"Sunglasses",540
"Slippers",538
"Jackets & Coats",534
"Pendant Necklaces",531
"Road Running",522
"Tunics",521
"Drop & Dangle",503
"Tanks & Camis",499
"Fashion Hoodies & Sweatshirts",489
"Active Shirts & Tees",483
"Wallets, Card Cases & Money Organizers",482
"Socks",475
"Costumes",470
"Jeans",467
"Socks & Hosiery",461
"Shoe, Jewelry & Watch Accessories",446
"Bras",422
"Outdoor & Work",417
"Baseball Caps",385
"Leggings",383
"Ankle & Bootie",382
"Body Jewelry",382
"Pullovers",379
"Underwear",374
"Costumes & Cosplay Apparel",371
"Wallets",370
"Baby Boys",366
"Stud",358
"Walking",342
"Sneakers",341
"Bikinis",337
"Clothing Sets",329
"Heeled Sandals",325
"Piercing Jewelry",322
"Cardigans",315
"Active Pants",313
"Shorts",305
"Jumpsuits, Rompers & Overalls",302
"Outdoor",302
"Active Shorts",294
"Skirts",294
"Casual Button-Down Shirts",288
"Hiking & Trekking",284
"Mules & Clogs",283
"Oxfords",283
"Swim",280
"Athletic Socks",276
"Crossbody Bags",271
"Belts",260
"One-Pieces",259
"Cycling",257
"Shoulder Bags",257
"Hoodies",252
"Backpacks",251
"Tops",250
"Statement",249
"Flip-Flops",245
"Scarves & Wraps",243
"Snow & Cold Weather",232
"Everyday Bras",230
"Polos",219
"Charms & Charm Bracelets",208
"Jewelry Accessories",208
"Kids & Baby",208
"Bottoms",203
"Pant Sets",203
"Team Sports",203
"Tees",202
"Hoop",200
"Golf",197
"Sleepwear & Robes",197
"Robes",195
"Jumpsuits",192
"Luggage",190
"Slides",190
"Totes",188
"Work & Utility",187
"Chelsea",183
"Nightgowns & Sleepshirts",178
"Shoe Care & Accessories",177
"Yoga",177
"Casual Daypacks",176
"Travel Accessories",173
"Jewelry Boxes & Organizers",172
"Panties",168
"Water Shoes",168
"Gloves & Mittens",167
"Sports Bras",166
"Charms",164
"Cover-Ups",163
"Riding",162
"Basketball",158
"Bodysuits",156
"Skullies & Beanies",156
"Vests",153
"Base Layers & Compression",148
"Jackets",147
"Club & Night Out",141
"Active & Performance",140
"Special Occasion",140
"Bangle",139
"Trail Running",139
"Mid-Calf",137
"Cocktail",136
"Fashion Scarves",136
"Fitness & Cross-Training",136
"Hiking Boots",135
"Medical",135
"Suits & Sport Coats",135
"Boxer Briefs",133
"Sport Sandals & Slides",132
"Formal",131
"Pajama Sets",128
"Sweatpants",127
"Link",126
"Ties, Cummerbunds & Pocket Squares",121
"Chains",118
"Hiking Shoes",116
"Rompers",116
"Brooches & Pins",114
"Work",114
"Balaclavas",113
"Bead",113
"Briefs",113
"Cold Weather Gloves",113
"Clutches & Evening Bags",112
"Pendants & Coins",112
"Suiting & Blazers",112
"Fleece",111
"Jewelry Sets",111
"Rain",111
"Combat",109
"Knee-High",109
"Chukka",108
"Keyrings, Keychains & Charms",108
"Jerseys",106
"Wedding & Engagement",106
"Gloves",105
"Masks",105
"Cuff",101
"Down Jackets & Parkas",101
"Skiing",101
"Top-Handle Bags",101
"Bands",100
"Tops, Tees & Shirts",97
"Leather & Faux Leather",95
"Western",95
"Watch Bands",94
"Dress Shirts",93
"Tankinis",92
"Active Hoodies",89
"Eyewear Frames",88
"Soccer",88
"Dance",87
"Down & Down Alternative",87
"Tank Tops",87
"Jewelry Boxes",85
"Short Sets",84
"Tracksuits",84
"Wigs",84
"Barbells",83
"Pendants Only",83
"Skateboarding",83
"Trench, Rain & Anoraks",83
"Work Utility & Safety",83
"Board Shorts",82
