sample_id,scenario_type,category_bucket,difficulty_bucket,ground_truth.parent_asin,user_profile.average_prior_rating,user_profile.preference_tags,user_profile.purchase_frequency,user_profile.rating_style,user_profile.summary
public_0001,buying,clothing,easy,B09PYB7B6Z,5.0,"fit, comfort, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, durability; ratings are usually positive."
public_0002,intent_override,clothing,hard,B071X54486,1.0,"fit, comfort, style",3-4 prior purchases,critical,"Prior purchases emphasize fit, comfort, style; ratings are critical."
public_0003,intent_override,clothing,hard,B09YMTWDXJ,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0004,intent_override,clothing,hard,B07C2XPZ6D,5.0,"weather, warmth, material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize weather, warmth, material, comfort; ratings are usually positive."
public_0005,buying,clothing,easy,B074G1JP8Z,5.0,"comfort, fit, style, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, style, durability; ratings are usually positive."
public_0006,browsing,clothing,medium,B071F2Z7JG,1.0,"comfort, fit, durability, style",3-4 prior purchases,critical,"Prior purchases emphasize comfort, fit, durability, style; ratings are critical."
public_0007,browsing,clothing,medium,B08PF98BV4,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0008,buying,clothing,easy,B0BPCC1KBT,5.0,"fit, comfort, material, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material, style; ratings are usually positive."
public_0009,buying,clothing,easy,B07GXHPWTJ,4.0,"material, comfort, fit",3-4 prior purchases,mixed,"Prior purchases emphasize material, comfort, fit; ratings are mixed."
public_0010,buying,clothing,easy,B0929KL5W7,1.0,"material, fit, performance, comfort",3-4 prior purchases,critical,"Prior purchases emphasize material, fit, performance, comfort; ratings are critical."
public_0011,browsing,clothing,medium,B0BXP6MG3X,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0012,browsing,clothing,medium,B08FFGQF72,5.0,"fit, material",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, material; ratings are usually positive."
